house_name,is_available,deposit,max_price,min_price,currency,price_duration,district,locality,route,postal_code,street_number,total_features,features,max_area,min_area,area_unit,owner_emails,owner_phones,url
Prior Deram Walk,True,600,165,125,pound,weekly,West Midlands,Coventry,Prior Deram Walk,CV4 8FS,102,3,Parking/Laundry Facilities/Bills Included,None,None,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/prior-deram-walk-2011077285318
Mayors Croft,True,600,190,130,pound,weekly,West Midlands,Coventry,Mayor's Croft,CV4 8FF,14,3,Parking/Laundry Facilities/Bills Included,None,None,sqft,info@warwickhomerental.com,+44 789 791 3455,https://amberstudent.com/places/mayors-croft-2011066260211
"Pillarbox, Coventry",True,100,230,120,pound,weekly,West Midlands,Coventry,Hertford Street,CV1 1LH,71,3,Club Lounge/game_room/bills_included,None,None,sqft,pillarbox@collegiate-ac.com,+44 2476941234,https://amberstudent.com/places/pillarbox-coventry-1803276666927
Urban Student Village - Ringway House,True,None,199,128,pound,weekly,West Midlands,Coventry,Hill Street,CV1 4AN,None,3,laundry_facility/gym/bills_included,22,13,sqft,info@wearehomesforstudents.com,+440371 705 3437,https://amberstudent.com/places/urban-student-village-ringway-house-2003035672212
Red Queen,True,250,185,160,pound,weekly,West Midlands,Coventry,Fletchamstead Highway,CV4 9BY,429,3,COVID-19 Cancellation Policy/no_visa_no_pay/bills_included,23,12,sqft,Redqueen@torsionstudents.co.uk,+44 07557438842,https://amberstudent.com/places/red-queen-2005194114106
Albany Student Village,True,None,230,145,pound,weekly,West Midlands,Coventry,Albany Road,CV5 6JR,None,4,bills_included/cinema/laundry_facility/study_area,None,None,sqft,albanystudentvillageenquiries@mezzino.co.uk,+4402476 012777,https://amberstudent.com/places/albany-student-village-2202108491124
"Fortress House, Coventry",True,99,200,144,pound,weekly,West Midlands,Coventry,Corporation Street,CV1 1GF,44-48,3,study_area/gym/game_room,None,None,sqft,salesenquiries@wearehomesforstudents.com/STLbookings@wearehomesforstudents.com,+44 0330 127 1601,https://amberstudent.com/places/fortress-house-coventry-1803188563379
"IQ Weaver Place, Coventry",True,50,210,145,pound,weekly,West Midlands,Coventry,Bishop Street,CV1 1AQ,9,3,gym/Games lounge/bills_included,23,11,sqft,weaverplace@iqstudentaccommodation.com,+44  02476 941094,https://amberstudent.com/places/iq-weaver-place-coventry-1911143678165
"Trinity View, Coventry",True,250,265,148,pound,weekly,West Midlands,Coventry,Friars' Road,CV1 2JE,None,3,Cinema Room/10th Floor Lounge/bills_included,37,13,sqft,coventry@primestudentliving.com/TrinityView@primestudentliving.com,+44 0247 6913857,https://amberstudent.com/places/trinity-view-coventry-1904117885036
"Burges House, Coventry",True,100,250,150,pound,weekly,West Midlands,Coventry,Trinity Street,CV1 1FJ,1,3,Private fitness suite/24/7 concierge/bills_included,None,None,sqft,burgeshouse@collegiate-ac.com,+44 1235 250 140,https://amberstudent.com/places/burges-house-coventry-1809208021113
"Julian Court, Coventry",True,100,189,165,pound,weekly,West Midlands,Coventry,Regent Street,CV1 3EP,1,3,Bike Storage/COVID-19 Cancellation Policy/bills_included,22,19,sqft,booking@uninn.com,+4402477454647,https://amberstudent.com/places/julian-court-coventry-1804038476918
"Shunde Place, Coventry",True,99,265,168,pound,weekly,West Midlands,Coventry,Corporation Street,CV1 1GS,28,3,Vending Machine/laundry_facility/gym,45,18,sqft,salesenquiries@wearehomesforstudents.com/STLbookings@wearehomesforstudents.com,+44 0330 127 1601/+44 0333 455 3638,https://amberstudent.com/places/shunde-place-coventry-1803160952379
"Lyttleton House, Birmingham",False,250,None,None,pound,weekly,West Midlands,Birmingham,Bridge Road,B8 3TE,None,3,Large lounge/High speed internet/not_available,None,None,sqft,leanne@studentlettingco.co.uk,+44 0121 456 5156,https://amberstudent.com/places/lyttleton-house-birmingham-2205267290703
"Beech Gardens, Birmingham",False,250,175,115,pound,weekly,West Midlands,Birmingham,Elvetham Road,B15 2NL,None,4,laundry_facility/Bike storage/bills_included/not_available,None,None,sqft,enquiries@almerostudent.com,+44 0800 008 6525/+44 07511404193/+4407511404225,https://amberstudent.com/places/beech-gardens-birmingham-2002113613740
Queen's Hospital Close,False,300,135,130,pound,weekly,West Midlands,Birmingham,Bath Row,B15 1NH,None,4,laundry_facility/game_room/bills_included/not_available,11,7,sqft,queens@host-students.com,+44 (0)121 817 8307,https://amberstudent.com/places/queen-s-hospital-close-2002111402777
"Cornwall Street Studios, Birmingham",False,500,145,135,pound,weekly,West Midlands,Birmingham,Cornwall Street,B3 3BY,89-91,3,Laundry facilities/Bike stores/not_available,None,None,sqft,leanne@studentlettingco.co.uk,+44 0121 456 5156,https://amberstudent.com/places/cornwall-street-studios-birmingham-2205264936950
"Jennens Court, Birmingham",False,250,199,142,pound,weekly,West Midlands,Birmingham,Jennens Road,B5 5JR,250,4,study_area/laundry_facility/bills_included/not_available,29,13,sqft,InternationalBooking2@unitestudents.com,+44 0300 303 8642,https://amberstudent.com/places/jennens-court-birmingham-1802195336015
"The Heights, Birmingham",False,250,239,146,pound,weekly,West Midlands,Birmingham,Staniforth Street,B4 7DR,30,4,gym/laundry_facility/cinema/not_available,None,None,sqft,the.heights@studentroost.co.uk,+44 121 359 7382,https://amberstudent.com/places/the-heights-birmingham-1805184213549
Globe Works,False,250,190,150,pound,weekly,West Midlands,Birmingham,Cliveland Street,B19 3SH,20,4,gym/laundry_facility/study_area/not_available,29,13,sqft,globeworks@yugo.com,+44 (0)121 201 3243,https://amberstudent.com/places/globe-works-1909058664046
"The Pavilion, Birmingham",False,150,195,150,pound,weekly,West Midlands,Birmingham,William Street,B15 1LJ,None,4,bills_included/laundry_facility/game_room/not_available,28,20,sqft,birmingham@alliedstudents.net,+4401213122200,https://amberstudent.com/places/the-pavilion-birmingham-1608308253731
"Lakeside, Birmingham",False,250,None,None,pound,weekly,West Midlands,Birmingham,Coleshill Street,B4 7UP,None,4,laundry_facility/Vending machine/bills_included/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/lakeside-birmingham-1802181427995
"Altura, Birmingham",False,None,231,156,pound,weekly,West Midlands,Birmingham,Bath Row,B15 1NR,160,4,gym/study_area/cinema/not_available,27,13,sqft,Altura@novelstudent.com,+44 0793 570 9970/+441217500090,https://amberstudent.com/places/altura-birmingham-2205167308519
"iQ Broderick House, Birmingham",False,100,278,156,pound,weekly,West Midlands,Birmingham,Bath Row,B15 1NQ,140,4,study_area/laundry_facility/game_room/not_available,None,None,sqft,broderickhouse@iqstudentaccommodation.com,+44 0121 667 8838/+440121 201 3160,https://amberstudent.com/places/iq-broderick-house-birmingham-1811228733406
Onyx,False,150,213,163,pound,weekly,West Midlands,Birmingham,Lancaster Street,B4 7BZ,60,4,laundry_facility/bills_included/game_room/not_available,27,13,sqft,onyx@thisisfresh.com,+440121 809 6991,https://amberstudent.com/places/onyx-1912143014755
"249 Windsor Court, Birmingham",False,500,None,None,pound,weekly,West Midlands,Birmingham,Windsor Street,B7 4LW,249,4,Modern Games Room/Foosball Table/Snooker Table/not_available,None,None,sqft,leanne@studentlettingco.co.uk,+44 0121 456 5156,https://amberstudent.com/places/249-windsor-court-birmingham-2205264710125
"James Watt, Birmingham",False,250,195,170,pound,weekly,West Midlands,Birmingham,Coleshill Street,B4 7EH,None,4,laundry_facility/not_available/Bike storage/bills_included,None,None,sqft,InternationalBooking2@unitestudents.com,+44 0300 303 1611,https://amberstudent.com/places/james-watt-birmingham-2012043940234
True Birmingham,False,None,290,194,pound,weekly,West Midlands,Birmingham,Upper Dean Street,B5 4SJ,45,4,Free Semester Clean/bills_included/laundry_facility/not_available,24,18,sqft,birmingham@truestudent.com,+441212893056,https://amberstudent.com/places/true-birmingham-1912079457022
"Oak Brook Park, Birmingham",False,250,190,164,pound,weekly,West Midlands,Birmingham,Grange Road,B29 6BL,17,4,bills_included/game_room/laundry_facility/not_available,14,12,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/oak-brook-park-birmingham-2108269364218
"Metchley Hall, Birmingham",False,150,205,155,pound,weekly,West Midlands,Birmingham,Harborne Park Road,B17 0DA,500,4,On-Site Laundry/Covid19 Cancellation Policy/bills_included/not_available,62,23,sqft,info@myaccommodation.online,+44 0121 3122200,https://amberstudent.com/places/metchley-hall-birmingham-1903018859481
"Vita Student Pebble Mill, Birmingham",False,None,308,243,pound,weekly,West Midlands,Birmingham,Pershore Road,B29 7ES,None,4,complimentary breakfast/free personal training and gym/free bikes/not_available,30,19,sqft,internationalpartnerships@vitastudent.com,M  +971 (0)56 397 7793,https://amberstudent.com/places/vita-student-pebble-mill-birmingham-1901159718225
Host Student Apartments,False,300,242,195,pound,weekly,West Midlands,Birmingham,Bristol Road,B29 6AR,561A,4,laundry_facility/24/7 Security/bills_included/not_available,None,None,sqft,host.birmingham@host-students.com,+44 (0)121 285 6140,https://amberstudent.com/places/host-student-apartments-2008288722882
"Battery Park, Birmingham",False,250,264,180,pound,weekly,West Midlands,Birmingham,Bristol Road,B29 6SR,701,4,new/laundry_facility/bills_included/not_available,29,12,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/battery-park-birmingham-1902168315891
"Athena Studios, Birmingham",False,250,264,235,pound,weekly,West Midlands,Birmingham,Bristol Road,B5 7SN,360,4,bills_included/bike storage/Common area/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/athena-studios-birmingham-1802194324140
Chambers 51,False,100,235,99,pound,weekly,West Midlands,Wolverhampton,Lichfield Street,WV1 1EQ,31-53,4,laundry_facility/gym/study_area/not_available,None,None,sqft,chambers51@digstudent.co.uk,+44 01902 515 030,https://amberstudent.com/places/chambers-51-1801256501277
"The Residence, Coventry ",False,None,302,177,pound,weekly,West Midlands,Coventry,Saint Columba's Close,CV1 4BX,5,4,gym/laundry_facility/bills_included/not_available,33,20,sqft,salesenquiries@prestigestudentliving.com/theresidence@wearehomesforstudents.com,+440333 344 3787/+4402476101960,https://amberstudent.com/places/the-residence-coventry-1812088490966
"IQ Kopa, Preston",True,75,154,101,pound,weekly,Lancashire,Preston,Moor Lane,PR1 1LR,130,3,Free Contents Insurance/Gated Courtyard/COVID-19 Cancellation Policy,None,None,sqft,kopa@iqstudentaccommodation.com,+44 01772 823332,https://amberstudent.com/places/iq-kopa-preston-1811290048262
Moss Court,False,100,130,102,pound,weekly,Greater Manchester,Manchester,Moss Lane East,M14 4PQ,422,3,bills_included/laundry_facility/not_available,14,7,sqft,manchester@alliedstudents.net,+44 01615182810,https://amberstudent.com/places/moss-court-2002051724372
"Artisan Heights, Manchester",False,250,286,134,pound,weekly,Greater Manchester,Manchester,New Wakefield Street,M1 5AA,3,3,laundry_facility/Vending machine/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/artisan-heights-manchester-2002243858684
"New Medlock House, Manchester",False,250,190,142,pound,weekly,Greater Manchester,Manchester,Chester Street,M15 6JX,None,4,Bike Storage/COVID-19 Cancellation Policy/bills_included/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/new-medlock-house-manchester-1808130542856
True Manchester - Salford,False,None,273,177,pound,weekly,Greater Manchester,Salford,King William Street,M50 3BG,2,4,Sky Lounges/Flexible Check In/bills_included/not_available,27,17,sqft,salford@truestudent.com,+441613595775,https://amberstudent.com/places/true-manchester-salford-1912078899665
City Edge,False,100,145,137,pound,weekly,Greater Manchester,Manchester,Ardwick Green South,M13 9XE,30,4,Laundry Room/bills_included/Flexible Tenancy/not_available,None,None,sqft,info@myaccommodation.online,+44 01615182810,https://amberstudent.com/places/city-edge-2002056940227
10 Holocobe Road ,False,350,None,None,pound,weekly,Greater Manchester,Manchester,Holcombe Road,M14 6QX,10,3,laundry_facility/not_available/Security,None,None,sqft,enquiries@almerostudent.com,+44 0800 008 6525/+44 07511404193,https://amberstudent.com/places/10-holocobe-road-2010066641410
77 Davenport Avenue ,False,250,None,None,pound,weekly,Greater Manchester,Manchester,Davenport Avenue,M20 3FS,77,4,laundry_facility/Security/TV/not_available,None,None,sqft,enquiries@almerostudent.com,+440800 008 6525/+44 07511404193,https://amberstudent.com/places/77-davenport-avenue-2010063337881
"Parkway Gate, Manchester",False,250,270,159,pound,weekly,Greater Manchester,Manchester,Chester Street,M15,50,4,COVID-19 Cancellation Policy/Flexible Tenancy/bills_included/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/parkway-gate-manchester-1808131715500
Clydesdale House,False,250,209,169,pound,weekly,Greater Manchester,Manchester,Turner Street,M4 1DG,27,4,laundry_facility/Bike Storage/bills_included/not_available,None,None,sqft,enquiries@almerostudent.com,+44 0800 008 6525/+44 07511404193,https://amberstudent.com/places/clydesdale-house-2010068568665
"Manchester City, Manchester",False,None,455,165,pound,weekly,Greater Manchester,Manchester,Princess Street,M1 4JY,36,4,laundry_facility/gym/bills_included/not_available,30,24,sqft,info@iconinc.co.uk,44 (0)330 111 5200/+4401612362121,https://amberstudent.com/places/manchester-city-manchester-2007318515993
"Mill Point, Manchester",False,250,182,158,pound,weekly,Greater Manchester,Manchester,Berry Street,M1 2AR,29,4,Car Parking/Flexible Tenancy/bills_included/not_available,17,14,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/mill-point-manchester-2002142172845
"Q3 Apartments, Manchester",False,100,None,None,pound,weekly,Greater Manchester,Manchester,Hyde Grove,M13,None,4,bills_included/CCTV/Surveillance/launderette/not_available,None,None,sqft,bookings@studentfm.co.uk,+44333 444 1122,https://amberstudent.com/places/q3-apartments-manchester-1803079394459
8 Holcombe Road,False,350,None,None,pound,weekly,Greater Manchester,Manchester,Holcombe Road,M14 6QX,8,3,laundry_facilitySecurity/TV/not_available,None,None,sqft,enquiries@almerostudent.com,+44 0800 008 6525/+44 07511404193,https://amberstudent.com/places/8-holcombe-road-2010063233031
"Kincardine Court, Manchester",False,250,205,159,pound,weekly,Greater Manchester,Manchester,Kincardine Road,None,None,4,COVID-19 Cancellation Policy/Flexible Tenancy/bills_included/not_available,12,11,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/kincardine-court-manchester-1808137208545
Cavendish Place,False,300,250,175,pound,weekly,Greater Manchester,Manchester,Wilmott Street,M15 6AS,20,4,laundry_facility/Secure bicycle parking/Outdoor garden space/not_available,None,None,sqft,cavendish@host-students.com,+44 (0)161 226 1008,https://amberstudent.com/places/cavendish-place-2012040138126
"Piccadilly Point, Manchester",False,250,252,170,pound,weekly,Greater Manchester,Manchester,Berry Street,M1 2AD,23,4,24/7 Security/Flexible Tenancy/bills_included/not_available,27,12,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/piccadilly-point-manchester-1808135757042
Trinity Student Village,False,99,115,87,pound,weekly,Lancashire,Preston,Great Shaw Street,PR1 2HF,None,4,COVID-19 Cancellation Policy/laundry_facility/bills_included/not_available,15,14,sqft,salesenquiries@wearehomesforstudents.com/trinitystudentvillage@wearehomesforstudents.com/STLbookings@wearehomesforstudents.com,+44177 288 0145,https://amberstudent.com/places/trinity-student-village-1804230520253
"Sir Charles Groves Hall, Manchester",False,250,273,176,pound,weekly,Greater Manchester,Manchester,Booth Street West,M15 6PF,None,4,COVID-19 Cancellation Policy/Flexible Tenancy/bills_included/not_available,32,14,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/sir-charles-groves-hall-manchester-2002142435086
"Manchester Corn Exchange, Manchester",False,None,445,205,pound,weekly,Greater Manchester,Manchester,Exchange Square,None,None,4,laundry_facility/gym/bills_included/not_available,None,None,sqft,info@iconinc.co.uk,+44 01134675432,https://amberstudent.com/places/manchester-corn-exchange-manchester-2007313820155
"MSV South, Manchester",False,200,200,160,pound,weekly,Greater Manchester,Manchester,Great Western Street,M14 4AH,357a,4,Bike Storage/Car Parking/bills_included/not_available,None,None,sqft,salesenquiries@dwellstudent.co.uk,+440161 200 5560,https://amberstudent.com/places/msv-south-manchester-1802136140893
"Jubilee Court, Preston",False,None,165,90,pound,weekly,Lancashire,Preston,Fylde Road,PR1 2XP,129,4,laundry_facility/bills_included/Bike Storage/not_available,None,None,sqft,bookings@cloudstudenthomes.co.uk,+440330 053 5701/+44 01722259809,https://amberstudent.com/places/jubilee-court-preston-1911051486562
"Bridgewater Heights, Manchester",False,250,299,199,pound,weekly,Greater Manchester,Manchester,Great Marlborough Street,M1,None,4,COVID-19 Cancellation Policy/Flexible Tenancy/bills_included/not_available,30,11,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/bridgewater-heights-manchester-2002145605325
"Vita Student First Street, Manchester",False,None,397,245,pound,weekly,Greater Manchester,Manchester,Jack Rosenthal Street,M15 4RB,13,4,complimentary breakfast/free personal training and gym/free bikes/not_available,None,None,sqft,internationalpartnerships@vitastudent.com,+44 203 096 1717,https://amberstudent.com/places/vita-student-first-street-manchester-1803316763602
Canterbury Hall,False,100,175,130,pound,weekly,Lancashire,Preston,Garstang Road,PR1 1AL,2,4,gym/study_area/terrace/not_available,29,21,sqft,enquiries@nurturstudentliving.com/Emma.Young@nurturstudentliving.com,+4401772 563 754,https://amberstudent.com/places/canterbury-hall-1803267727659
